IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
40.233.110.251,2603:c021:4:9a88::1018,443,180.0,CA,YYZ,22.29,35.92
68.233.122.42,68.233.122.42,443,87.38,CA,YUL,19.34,34.09
172.98.207.58,172.98.207.6,443,40.44,CA,YYZ,24.31,42.25
40.233.71.238,2603:c021:5:8c88::1006,443,19.31,CA,YYZ,23.09,38.6
40.233.103.212,2603:c021:5:8c88::1008,443,17.24,CA,YYZ,19.62,48.02
40.233.77.216,2603:c021:5:8c88::825,443,15.5,CA,YYZ,21.72,32.89
40.233.87.120,2603:c021:4:9a88::1016,443,12.15,CA,YYZ,31.09,31.06
158.69.112.254,158.69.112.254,443,9.43,CA,YYZ,19.77,49.57
159.203.2.180,159.203.2.180,443,7.35,CA,YYZ,31.59,30.05
72.11.145.117,72.11.145.117,443,3.36,CA,YYZ,21.28,54.13
83.228.193.229,83.228.193.229,443,10.27,CH,GVA,117.14,136.83
83.228.193.229,83.228.193.229,8443,9.03,CH,LYS,166.61,157.49
94.131.12.15,94.131.12.15,443,8.02,CH,ZRH,105.13,153.32
94.131.12.65,94.131.12.65,443,6.46,CH,ZRH,97.53,153.01
140.238.209.8,140.238.209.8,443,5.97,CH,ZRH,101.96,106.79
83.228.193.162,83.228.193.162,443,5.52,CH,LYS,146.43,182.87
45.59.114.151,45.59.114.151,443,5.51,CH,ZRH,137.12,109.91
83.228.193.177,83.228.193.177,443,5.4,CH,GVA,99.85,106.69
83.228.198.53,83.228.198.53,443,5.37,CH,GVA,105.35,112.75
152.67.85.239,152.67.85.239,443,4.98,CH,ZRH,106.52,122.75
38.180.85.203,38.180.85.203,443,4.78,CH,MXP,97.29,107.98
83.228.193.162,83.228.193.162,8443,4.52,CH,LYS,105.81,167.07
83.228.198.53,83.228.198.53,8443,4.13,CH,LYS,101.38,127.4
38.180.162.104,38.180.162.104,443,3.66,CH,MXP,123.17,131.24
146.70.71.157,146.70.71.157,443,3.56,CH,FRA,99.24,115.21
107.189.30.77,107.189.30.77,443,3.53,CH,ZRH,100.83,126.89
83.228.193.177,83.228.193.177,8443,3.46,CH,LYS,101.61,128.72
51.34.85.34,51.34.85.34,443,3.42,CH,ZRH,106.35,112.13
5.182.36.39,5.182.36.39,443,2.71,CH,ZRH,104.65,115.06
84.234.16.169,84.234.16.169,443,2.36,CH,LYS,111.72,124.5
38.244.145.50,38.244.145.50,443,2.25,CH,MXP,98.64,118.8
84.234.17.132,84.234.17.132,8443,2.19,CH,GVA,102.97,107.52
84.234.16.169,84.234.16.169,8443,2.11,CH,GVA,114.72,112.84
140.238.208.210,140.238.208.210,443,2.07,CH,ZRH,100.86,120.82
141.227.139.220,141.227.139.220,443,1.98,CH,ZRH,95.29,130.57
91.245.225.69,91.245.225.69,443,1.97,CH,ZRH,97.84,182.31
94.131.3.4,94.131.3.4,443,1.88,CH,ZRH,98.48,129.88
152.67.64.55,152.67.64.55,443,1.87,CH,ZRH,102.09,113.07
82.38.64.162,82.38.64.162,443,1.84,CH,ZRH,100.62,122.13
83.228.193.188,83.228.193.188,8443,1.81,CH,GVA,98.99,120.03
79.132.141.152,2a00:bd80:a176:10:334::1,443,1.79,CH,ZRH,96.85,107.37
91.90.193.138,91.90.193.138,443,1.72,CH,LYS,99.84,195.51
84.234.17.132,84.234.17.132,443,1.7,CH,GVA,101.69,113.35
176.10.125.114,176.10.125.114,443,1.65,CH,ZRH,97.16,108.56
94.131.12.56,94.131.12.56,443,1.63,CH,ZRH,99.14,116.32
83.228.193.188,83.228.193.188,443,1.55,CH,GVA,101.56,127.56
87.120.222.199,87.120.222.199,443,1.43,CH,ZRH,229.61,290.96
